name,team,age,position,games_played,games_started,record,completions,attempts,completionPct,passing_yards,passing_TD,passing_TDPct,passing_INT,passing_INTPct,passing_long,passing_ydsAtt,passing_airydsAtt,passing_ydsComp,passing_ydsGame,passing_rating,passing_sacks,passing_sacksyds,passing_netyds,passing_airnetydsAtt,passing_sackPct,4thQC,gamewinningdrives,year
A.J. Feeley,PHI,25,QB,6,5,4/1/2000,86,154,55.8,1011,6,3.9,5,3.2,53,6.6,5.9,11.8,168.5,75.4,7,48,5.98,5.33,4.3,,,2002
Mike McMahon,DET,23,NAN,8,4,0-4-0,62,147,42.2,874,7,4.8,9,6.1,49,5.9,4.1,14.1,109.3,52.4,12,99,4.87,3.21,7.5,,,2002
Steve Beuerlein,DEN,37,NAN,8,3,1/2/2000,68,117,58.1,925,6,5.1,5,4.3,52,7.9,7,13.6,115.6,82.7,12,78,6.57,5.75,9.3,,,2002
Kelly Holcomb,CLE,29,NAN,4,2,1/1/2000,64,106,60.4,790,8,7.5,4,3.8,44,7.5,7.3,12.3,197.5,92.9,5,40,6.76,6.58,4.5,1,1,2002
Danny Wuerffel,WAS,28,NAN,7,4,2/2/2000,58,92,63,719,3,3.3,6,6.5,40,7.8,5.5,12.4,102.7,70.9,11,83,6.17,4.14,10.7,,,2002
Rob Johnson,TAM,29,NAN,6,2,2-0-0,57,88,64.8,536,1,1.1,2,2.3,23,6.1,5.3,9.4,89.3,75.8,19,94,4.13,3.48,17.8,1,1,2002
Gus Frerotte,CIN,31,NAN,4,3,0-3-0,44,85,51.8,437,1,1.2,5,5.9,51,5.1,2.7,9.9,109.3,46.1,10,74,3.82,1.66,10.5,,,2002
Vinny Testaverde,NYJ,39,NAN,5,4,1/3/2000,54,83,65.1,499,3,3.6,3,3.6,35,6,5.1,9.2,99.8,78.3,9,62,4.75,3.93,9.8,1,0,2002
Doug Johnson,ATL,25,NAN,6,1,1-0-0,37,57,64.9,448,2,3.5,3,5.3,63,7.9,6.2,12.1,74.7,78.7,3,11,7.28,5.7,5,1,2,2002
Henry Burris,CHI,27,NAN,6,1,0-1-0,18,51,35.3,207,3,5.9,5,9.8,45,4.1,0.8,11.5,34.5,28.4,0,0,4.06,0.82,0,,,2002
David Garrard,JAX,24,NAN,4,1,0-1-0,23,46,50,231,1,2.2,2,4.3,22,5,3.5,10,57.8,53.8,7,40,3.6,2.28,13.2,,,2002
Randy Fasani,CAR,24,NAN,4,1,0-1-0,15,44,34.1,171,0,0,4,9.1,27,3.9,-0.2,11.4,42.8,8.8,7,60,2.18,-1.35,13.7,,,2002
Tim Rattay,SFO,25,NAN,4,0,,26,43,60.5,232,2,4.7,0,0,27,5.4,6.3,8.9,58,90.5,5,26,4.29,5.13,10.4,,,2002
Chris Weinke,CAR,30,NAN,6,1,0-1-0,17,38,44.7,180,0,0,3,7.9,24,4.7,1.2,10.6,30,26.2,6,35,3.3,0.23,13.6,,,2002
Akili Smith,CIN,27,NAN,1,1,0-1-0,12,33,36.4,117,0,0,1,3,24,3.5,2.2,9.8,117,34.5,3,23,2.61,1.36,8.3,,,2002
Koy Detmer,PHI,29,NAN,14,1,1-0-0,19,28,67.9,224,2,7.1,0,0,37,8,9.4,11.8,16,115.8,1,8,7.45,8.83,3.4,,,2002
Doug Pederson,GNB,34,NAN,16,0,,19,28,67.9,134,1,3.6,0,0,20,4.8,5.5,7.1,8.4,90.5,1,8,4.34,5.03,3.4,,,2002
Shaun King,TAM,25,NAN,3,1,0-1-0,10,27,37,80,0,0,1,3.7,20,3,1.3,8,26.7,30,1,5,2.68,1.07,3.6,0,1,2002
Josh McCown,ARI,23,NAN,2,0,,7,18,38.9,66,0,0,2,11.1,26,3.7,-1.3,9.4,33,10.2,5,50,0.7,-3.22,21.7,,,2002
Doug Flutie,SDG,40,NAN,1,0,,3,11,27.3,64,0,0,0,0,47,5.8,5.8,21.3,64,51.3,0,0,5.82,5.82,0,,,2002
Jake Delhomme,NOR,27,NAN,4,0,,8,10,80,113,0,0,0,0,54,11.3,11.3,14.1,28.3,113.7,0,0,11.3,11.3,0,,,2002
Cory Sauter,CHI,28,NAN,1,0,,6,9,66.7,59,0,0,0,0,31,6.6,6.6,9.8,59,85,4,20,3,3,30.8,,,2002
Antwaan Randle El,PIT,23,NAN,16,0,,7,8,87.5,45,0,0,0,0,25,5.6,5.6,6.4,2.8,90.1,1,10,3.89,3.89,11.1,,,2002
Todd Bouman,MIN,30,NAN,1,0,,3,6,50,85,0,0,0,0,48,14.2,14.2,28.3,85,95.8,2,22,7.88,7.88,25,,,2002
Todd Collins,KAN,31,NAN,3,0,,5,6,83.3,73,1,16.7,0,0,29,12.2,15.5,14.6,24.3,156.9,0,0,12.17,15.5,0,,,2002
Marty Booker*,CHI,26,WR,16,16,,1,5,20,44,1,20,0,0,44,8.8,12.8,44,2.8,103.3,0,0,8.8,12.8,0,,,2002
Scott Covington,STL,26,NAN,1,1,1-0-0,2,5,40,7,0,0,0,0,4,1.4,1.4,3.5,7,47.9,2,16,-1.29,-1.29,28.6,,,2002
Neil O'Donnell,TEN,36,NAN,4,0,,3,5,60,24,0,0,0,0,15,4.8,4.8,8,6,72.1,0,0,4.8,4.8,0,,,2002
Jesse Palmer,NYG,24,NAN,2,0,,3,4,75,30,0,0,0,0,14,7.5,7.5,10,15,95.8,0,0,7.5,7.5,0,,,2002
Randy Moss*,MIN,25,WR,16,16,,1,3,33.3,13,1,33.3,0,0,13,4.3,11,13,0.8,87.5,0,0,4.33,11,0,,,2002
Sage Rosenfels,MIA,24,NAN,4,0,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
James Allen,HOU,27,RB,16,5,,1,2,50,5,1,50,0,0,5,2.5,12.5,5,0.3,95.8,0,0,2.5,12.5,0,,,2002
Rohan Davey,NWE,24,NAN,2,0,,1,2,50,3,0,0,0,0,3,1.5,1.5,3,1.5,56.2,0,0,1.5,1.5,0,,,2002
Kevin Johnson,CLE,26,WR,16,15,,1,2,50,33,1,50,0,0,33,16.5,26.5,33,2.1,135.4,0,0,16.5,26.5,0,,,2002
Dorsey Levens,PHI,32,NAN,16,0,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Alex Van Pelt,BUF,32,NAN,2,0,,2,2,100,5,0,0,0,0,4,2.5,2.5,2.5,2.5,79.2,0,0,2.5,2.5,0,,,2002
Frank Wycheck,TEN,31,TE,15,15,,1,2,50,13,0,0,0,0,13,6.5,6.5,13,0.9,70.8,0,0,6.5,6.5,0,,,2002
Richie Anderson,NYJ,31,FB,16,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Dee Brown,CAR,24,NAN,14,3,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2002
Reche Caldwell,SDG,23,NAN,16,2,,1,1,100,20,0,0,0,0,20,20,20,20,1.3,118.7,0,0,20,20,0,,,2002
Wayne Chrebet,NYJ,29,WR,15,15,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Chris Doering,WAS,29,NAN,15,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Kevin Faulk,NWE,26,NAN,15,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Bubba Franks*,GNB,24,TE,16,15,,1,1,100,31,1,100,0,0,31,31,51,31,1.9,158.3,0,0,31,51,0,,,2002
Jabar Gaffney,HOU,22,WR,16,14,,1,1,100,39,1,100,0,0,39,39,59,39,2.4,158.3,0,0,39,59,0,,,2002
Rod Gardner,WAS,25,WR,16,15,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Todd Heap*,BAL,22,TE,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Craig Hentrich,TEN,31,NAN,16,0,,1,1,100,17,0,0,0,0,17,17,17,17,1.1,118.7,0,0,17,17,0,,,2002
Priest Holmes*+,KAN,29,RB,14,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Frisman Jackson,CLE,23,NAN,7,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Leon Johnson,CHI,28,NAN,16,4,,1,1,100,27,0,0,0,0,27,27,27,27,1.7,118.7,1,0,13.5,13.5,50,,,2002
Terry Kirby,OAK,32,NAN,6,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Kevin Lockett,2TM,28,NAN,13,4,,1,1,100,14,1,100,0,0,14,14,34,14,1.1,158.3,0,0,14,34,0,,,2002
Brad Maynard,CHI,28,NAN,16,0,,1,1,100,12,1,100,0,0,12,12,32,12,0.8,156.2,0,0,12,32,0,,,2002
Brian Mitchell,PHI,34,NAN,16,0,,1,1,100,57,1,100,0,0,57,57,77,57,3.6,158.3,0,0,57,77,0,,,2002
Freddie Mitchell,PHI,24,NAN,16,1,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Chris Mohr,ATL,36,NAN,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2002
David Patten,NWE,28,WR,16,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Ricky Proehl,STL,34,NAN,16,2,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1,1,-0.5,-0.5,50,,,2002
Rod Smith,DEN,32,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
James Stewart,DET,31,RB,14,9,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Tom Tupa,TAM,36,NAN,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2002
Matt Turk,NYJ,34,NAN,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2002
Brian Urlacher*+,CHI,24,MLB,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Brian Westbrook,PHI,23,NAN,15,3,,1,1,100,25,1,100,0,0,25,25,45,25,1.7,158.3,0,0,25,45,0,,,2002
Dave Zastudil,BAL,24,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2002
Brad Johnson,TAM,35,QB,16,16,7/9/2000,354,570,62.1,3811,26,4.6,21,3.7,76,6.7,5.9,10.8,238.2,81.5,20,111,6.27,5.55,3.4,,,2003
Peyton Manning*+,IND,27,QB,16,16,12/4/2000,379,566,67,4267,29,5.1,10,1.8,79,7.5,7.8,11.3,266.7,99,18,107,7.12,7.35,3.1,3,4,2003
Joey Harrington,DET,25,QB,16,16,5/11/2000,309,554,55.8,2880,17,3.1,22,4,72,5.2,4,9.3,180,63.9,9,55,5.02,3.86,1.6,2,2,2003
Marc Bulger*,STL,26,QB,15,15,12/3/2000,336,532,63.2,3845,22,4.1,22,4.1,48,7.2,6.2,11.4,256.3,81.4,37,288,6.25,5.28,6.5,4,4,2003
Tom Brady,NWE,26,QB,16,16,14-2-0,317,527,60.2,3620,23,4.4,12,2.3,82,6.9,6.7,11.4,226.3,85.9,32,219,6.08,5.94,5.7,4,7,2003
Trent Green*,KAN,33,QB,16,16,13-3-0,330,523,63.1,4039,24,4.6,12,2.3,67,7.7,7.6,12.2,252.4,92.6,20,130,7.2,7.09,3.7,1,2,2003
Jon Kitna,CIN,31,QB,16,16,8/8/2000,324,520,62.3,3591,26,5,15,2.9,82,6.9,6.6,11.1,224.4,87.4,37,249,6,5.72,6.6,3,3,2003
Tommy Maddox,PIT,32,QB,16,16,6/10/2000,298,519,57.4,3414,18,3.5,17,3.3,53,6.6,5.8,11.5,213.4,75.3,41,242,5.66,4.94,7.3,,,2003
Aaron Brooks,NOR,27,QB,16,16,8/8/2000,306,518,59.1,3546,24,4.6,8,1.5,76,6.8,7.1,11.6,221.6,88.8,34,195,6.07,6.29,6.2,2,3,2003
Matt Hasselbeck*,SEA,28,QB,16,16,10/6/2000,313,513,61,3841,26,5.1,15,2.9,80,7.5,7.2,12.3,240.1,88.8,42,246,6.48,6.2,7.6,2,3,2003
Quincy Carter,DAL,26,QB,16,16,10/6/2000,292,505,57.8,3302,17,3.4,21,4.2,64,6.5,5.3,11.3,206.4,71.4,37,185,5.75,4.63,6.8,2,2,2003
Kerry Collins,NYG,31,QB,13,13,4/9/2000,284,500,56.8,3110,13,2.6,16,3.2,77,6.2,5.3,11,239.2,70.7,28,164,5.58,4.71,5.3,1,3,2003
Donovan McNabb*,PHI,27,QB,16,16,12/4/2000,275,478,57.5,3216,16,3.3,11,2.3,59,6.7,6.4,11.7,201,79.6,43,253,5.69,5.35,8.3,3,5,2003
Drew Bledsoe,BUF,31,QB,16,16,6/10/2000,274,471,58.2,2860,11,2.3,12,2.5,54,6.1,5.4,10.4,178.8,73,49,371,4.79,4.17,9.4,1,1,2003
Brett Favre*,GNB,34,QB,16,16,10/6/2000,308,471,65.4,3361,32,6.8,21,4.5,66,7.1,6.5,10.9,210.1,90.4,19,137,6.58,5.96,3.9,2,3,2003
Daunte Culpepper*,MIN,26,QB,14,14,7/7/2000,295,454,65,3479,25,5.5,11,2.4,59,7.7,7.7,11.8,248.5,96.4,37,196,6.69,6.7,7.5,0,1,2003
Jake Delhomme,CAR,28,QB,16,15,10/5/2000,266,449,59.2,3219,19,4.2,16,3.6,67,7.2,6.4,12.1,201.2,80.6,23,168,6.46,5.74,4.9,5,8,2003
Byron Leftwich,JAX,23,QB,15,13,5/8/2000,239,418,57.2,2819,14,3.3,16,3.8,84,6.7,5.7,11.8,187.9,73,19,90,6.24,5.24,4.3,1,2,2003
Steve McNair*,TEN,30,QB,14,14,10/4/2000,250,400,62.5,3215,24,6,7,1.8,73,8,8.5,12.9,229.6,100.4,19,108,7.42,7.81,4.5,1,2,2003
Jeff Garcia,SFO,33,QB,13,13,5/8/2000,225,392,57.4,2704,18,4.6,13,3.3,75,6.9,6.3,12,208,80.1,21,104,6.3,5.75,5.1,1,1,2003
Jeff Blake,ARI,33,QB,13,13,3/10/2000,208,367,56.7,2247,13,3.5,15,4.1,71,6.1,5,10.8,172.8,69.6,19,132,5.48,4.4,4.9,0,2,2003
Drew Brees,SDG,24,QB,11,11,2/9/2000,205,356,57.6,2108,11,3.1,15,4.2,68,5.9,4.6,10.3,191.6,67.5,21,178,5.12,3.91,5.6,0,1,2003
Patrick Ramsey,WAS,24,QB,11,11,4/7/2000,179,337,53.1,2166,14,4.2,9,2.7,64,6.4,6.1,12.1,196.9,75.8,30,206,5.34,5,8.2,0,2,2003
Jay Fiedler,MIA,32,QB,12,11,7/4/2000,179,314,57,2138,11,3.5,13,4.1,59,6.8,5.6,11.9,178.2,72.4,19,126,6.04,4.95,5.7,2,3,2003
Kelly Holcomb,CLE,30,QB,10,8,2/6/2000,193,302,63.9,1797,10,3.3,12,4,68,6,4.8,9.3,179.7,74.6,21,166,5.05,4,6.5,1,1,2003
Jake Plummer,DEN,29,QB,11,11,9/2/2000,189,302,62.6,2182,15,5,7,2.3,60,7.2,7.2,11.5,198.4,91.2,14,73,6.67,6.63,4.4,1,1,2003
Chad Pennington,NYJ,27,QB,10,9,4/5/2000,189,297,63.6,2139,13,4.4,12,4,65,7.2,6.3,11.3,213.9,82.9,25,160,6.15,5.28,7.8,2,2,2003
David Carr,HOU,24,QB,12,11,3/8/2000,167,295,56.6,2013,9,3.1,13,4.4,78,6.8,5.5,12.1,167.8,69.5,15,90,6.2,4.9,4.8,2,2,2003
Kordell Stewart,CHI,31,QB,9,7,2/5/2000,126,251,50.2,1418,7,2.8,12,4.8,61,5.6,4.1,11.3,157.6,56.8,25,146,4.61,3.16,9.1,2,2,2003
Doug Johnson,ATL,26,QB,10,8,1/7/2000,136,243,56,1655,8,3.3,12,4.9,86,6.8,5.2,12.2,165.5,67.5,19,121,5.85,4.4,7.3,,,2003
Rich Gannon,OAK,38,QB,7,7,2/5/2000,125,225,55.6,1274,6,2.7,4,1.8,46,5.7,5.4,10.2,182,73.5,17,90,4.89,4.64,7,1,2,2003
Kyle Boller,BAL,22,QB,11,9,5/4/2000,116,224,51.8,1260,7,3.1,9,4,73,5.6,4.4,10.9,114.5,62.4,17,92,4.85,3.75,7.1,,,2003
Rick Mirer,OAK,33,QB,9,8,2/6/2000,116,221,52.5,1267,3,1.4,5,2.3,47,5.7,5,10.9,140.8,64.8,22,122,4.71,4.03,9.1,,,2003
Tim Couch,CLE,26,QB,10,8,3/5/2000,120,203,59.1,1319,7,3.4,6,3,71,6.5,5.9,11,131.9,77.6,19,116,5.42,4.83,8.6,1,1,2003
Vinny Testaverde,NYJ,40,QB,7,7,2/5/2000,123,198,62.1,1385,7,3.5,2,1,61,7,7.2,11.3,197.9,90.6,6,48,6.55,6.8,2.9,1,1,2003
Chris Chandler,CHI,38,QB,8,6,3/3/2000,107,192,55.7,1050,3,1.6,7,3.6,37,5.5,4.1,9.8,131.3,61.3,14,101,4.61,3.37,6.8,,,2003
Anthony Wright,BAL,27,QB,7,7,5/2/2000,94,178,52.8,1199,9,5.1,8,4.5,64,6.7,5.7,12.8,171.3,72.3,19,125,5.45,4.54,9.6,2,2,2003
Tim Hasselbeck,WAS,25,QB,7,5,1/4/2000,95,177,53.7,1012,5,2.8,7,4,40,5.7,4.5,10.7,144.6,63.6,9,44,5.2,4.05,4.8,,,2003
Doug Flutie,SDG,41,QB,7,5,2/3/2000,91,167,54.5,1097,9,5.4,4,2.4,73,6.6,6.6,12.1,156.7,82.8,8,27,6.11,6.11,4.6,,,2003
Josh McCown,ARI,24,QB,8,3,1/2/2000,95,166,57.2,1018,5,3,6,3.6,60,6.1,5.1,10.7,127.3,70.3,25,174,4.42,3.53,13.1,1,1,2003
Brian Griese,MIA,28,QB,5,5,3/2/2000,74,130,56.9,813,5,3.8,6,4.6,80,6.3,4.9,11,162.6,69.2,12,83,5.14,3.94,8.5,0,1,2003
Tim Rattay,SFO,26,NAN,11,3,2/1/2000,73,118,61.9,856,7,5.9,2,1.7,61,7.3,7.7,11.7,77.8,96.6,7,54,6.42,6.82,5.6,,,2003
Jesse Palmer,NYG,25,NAN,6,3,0-3-0,60,116,51.7,532,3,2.6,4,3.4,40,4.6,3.6,8.9,88.7,58.5,16,95,3.31,2.4,12.1,,,2003
Kurt Kittner,ATL,23,NAN,7,4,1/3/2000,44,114,38.6,391,2,1.8,6,5.3,31,3.4,1.4,8.9,55.9,32.5,5,30,3.03,1.1,4.2,,,2003
Danny Kanell,DEN,30,NAN,5,2,0-2-0,53,103,51.5,442,2,1.9,5,4.9,26,4.3,2.5,8.3,88.4,49.1,2,24,3.98,2.22,1.9,,,2003
Tony Banks,HOU,30,NAN,7,3,2/1/2000,61,102,59.8,693,5,4.9,3,2.9,46,6.8,6.5,11.4,99,84.3,13,57,5.53,5.23,11.3,1,1,2003
Michael Vick,ATL,23,NAN,5,4,3/1/2000,50,100,50,585,4,4,3,3,49,5.9,5.3,11.7,117,69,9,64,4.78,4.28,8.3,1,0,2003
Mark Brunell,JAX,33,NAN,3,3,0-3-0,54,82,65.9,484,2,2.4,0,0,65,5.9,6.4,9,161.3,89.7,9,46,4.81,5.25,9.9,,,2003
Rex Grossman,CHI,23,NAN,3,3,2/1/2000,38,72,52.8,437,2,2.8,1,1.4,59,6.1,6,11.5,145.7,74.8,4,41,5.21,5.14,5.3,0,1,2003
Billy Volek,TEN,27,NAN,7,1,1-0-0,44,69,63.8,545,4,5.8,1,1.4,50,7.9,8.4,12.4,77.9,101.4,6,45,6.67,7.13,8,1,1,2003
Gus Frerotte,MIN,32,NAN,16,2,2-0-0,38,65,58.5,690,7,10.8,2,3.1,72,10.6,11.4,18.2,43.1,118.1,5,22,9.54,10.26,7.1,,,2003
Kurt Warner,STL,32,NAN,2,1,0-1-0,38,65,58.5,365,1,1.5,1,1.5,37,5.6,5.2,9.6,182.5,72.9,6,38,4.61,4.25,8.5,,,2003
Steve Beuerlein,DEN,38,NAN,4,2,1/1/2000,33,63,52.4,389,2,3.2,5,7.9,38,6.2,3.2,11.8,97.3,49,9,60,4.57,2,12.5,0,1,2003
Marques Tuiasosopo,OAK,24,NAN,4,1,0-1-0,25,45,55.6,324,0,0,3,6.7,35,7.2,4.2,13,81,50.6,2,14,6.6,3.72,4.3,,,2003
Dave Ragone,HOU,24,NAN,2,2,0-2-0,20,40,50,135,0,0,1,2.5,24,3.4,2.3,6.8,67.5,47.4,8,39,2,1.06,16.7,,,2003
Mike McMahon,DET,24,NAN,3,0,,9,31,29,87,0,0,2,6.5,26,2.8,-0.1,9.7,29,12.7,2,9,2.36,-0.36,6.1,,,2003
Neil O'Donnell,TEN,37,NAN,1,1,1-0-0,18,27,66.7,232,2,7.4,1,3.7,34,8.6,8.4,12.9,232,102.7,0,0,8.59,8.41,0,,,2003
Shaun King,TAM,26,NAN,3,0,,15,22,68.2,130,1,4.5,1,4.5,20,5.9,4.8,8.7,43.3,79.7,3,25,4.2,3.2,12,,,2003
Rob Johnson,2TM,30,NAN,4,0,,11,20,55,93,0,0,1,5,15,4.7,2.4,8.5,23.3,46.5,4,21,3,1.13,16.7,,,2003
Travis Brown,BUF,26,NAN,2,0,,14,18,77.8,160,0,0,1,5.6,28,8.9,6.4,11.4,80,80.6,1,7,8.05,5.68,5.3,,,2003
Tee Martin,OAK,25,NAN,2,0,,6,16,37.5,69,0,0,1,6.3,17,4.3,1.5,11.5,34.5,25.3,1,5,3.76,1.12,5.9,,,2003
Todd Bouman,NOR,31,NAN,4,0,,7,13,53.8,81,1,7.7,0,0,19,6.2,7.8,11.6,20.3,98.6,2,8,4.87,6.2,13.3,,,2003
Chris Redman,BAL,26,NAN,2,0,,7,13,53.8,58,0,0,2,15.4,16,4.5,-2.5,8.3,29,26,6,45,0.68,-4.05,31.6,,,2003
